Jahr;residents Ger 1000;catholics Ger 1000;cath %;worshipper 1000;cath curch tax Mio€
2000;82260;26817;32,6;4421;4535
2001;82440;26656;32,3;4248;4356
2002;82537;26466;32,1;4031;4302
2003;82532;26165;31,7;3981;4356
2004;82501;25689;31,5;3849;4026
2005;82438;25870;31,4;3688;3977
2006;82315;25685;31,2;3606;4252
2007;82218;25460;31;3492;4652
2008;82002;25177;30,7;3371;5065
2009;81802;24909;30,5;3249;4903
2010;81752;24651;30,2;3103;4794
2011;81860;24475;29,9;3011;4918
2012;81860;24475;30,3;2861;5188
2013;80767;24171;29,9;2603;5450
2014;81100;23939;29,5;2614;5681
2015;82176;23762;28,9;2464;6086
2016;82522;23582;28,5;2401;6146
2017;82792;23311;28,2;2292;6427
2018;83.019;23.002;27,7;2133;6643
